"Year","Associated_tsunami","Associated_earthquake","Country","Latitude","Longitude","Elevation","Type","Status","Time","VEI","Deaths","Deaths_description","Missing","Missing_description","Injuries","Injuries_description","Damage_million_dollars","Damage_description","Houses_destroyed","Houses_destroyed_description"
1631,0,1,"Ethiopia",11.28,41.63,1068,"Shield volcano","Historical","D5",NA,50,1,NA,NA,NA,NA,NA,2,NA,NA
1631,1,1,"Italy",40.821,14.426,1281,"Complex volcano","Historical","D2",4,4000,4,NA,NA,NA,NA,NA,4,NA,4
1636,0,0,"Iceland",63.98,-19.7,1491,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1638,0,0,"Indonesia",-8.125,114.042,3332,"Stratovolcano","Historical","D1",3,1000,3,NA,NA,NA,NA,NA,NA,NA,NA
1640,1,1,"Japan",42.07,140.68,1140,"Stratovolcano","Historical","D1",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1646,0,0,"Indonesia",0.32,127.4,1357,"Stratovolcano","Historical","D1",4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1650,1,0,"Greece",36.404,25.396,329,"Shield volcano","Historical","D2",4,120,3,NA,NA,NA,NA,NA,NA,NA,NA
1659,0,1,"El Salvador",13.736,-89.286,1893,"Stratovolcano","Historical","D2",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1659,1,0,"Pacific Ocean",-6.92,129.125,655,"Stratovolcano","Historical","D2",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1660,0,0,"Pacific Ocean",-6.92,129.125,655,"Stratovolcano","Historical","D2",4,3,1,NA,NA,NA,NA,NA,NA,NA,NA
1660,0,0,"Iceland",63.63,-19.05,1512,"Subglacial volcano","Historical","D2",4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1660,1,0,"Papua New Guinea",-5.358,147.12,1280,"Complex volcano","Historical","D1",6,2000,4,NA,NA,NA,NA,NA,3,NA,3
1663,0,0,"Japan",42.53,140.83,731,"Stratovolcano","Historical","D1",5,5,1,NA,NA,NA,NA,NA,NA,NA,NA
1664,0,0,"Japan",32.75,130.3,1500,"Complex volcano","Historical","D1",2,30,1,NA,NA,NA,NA,NA,NA,NA,NA
1664,1,0,"Japan",27.85,128.25,217,"Complex volcano","Historical","D1",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1669,0,1,"Italy",37.734,15.004,3350,"Stratovolcano","Historical","D1",3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1670,0,0,"Vanuatu",-15.4,167.83,1496,"Shield volcano","Historical","D1",2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1672,0,0,"Portugal",38.6,-28.73,1043,"Stratovolcano","Historical","D2",2,3,1,NA,NA,NA,NA,NA,NA,NA,NA
1672,0,0,"Indonesia",-7.542,110.442,2947,"Stratovolcano","Historical","D1",3,3000,4,NA,NA,NA,NA,NA,NA,NA,NA
1673,1,0,"Indonesia",1.375,127.52,1635,"Stratovolcano","Historical","D1",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1677,0,0,"Spain",28.58,-17.83,2426,"Stratovolcano","Historical","D1",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1679,0,1,"Yemen",14.02,42.75,624,"Shield volcano","Holocene","U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1682,0,0,"Italy",40.821,14.426,1281,"Complex volcano","Historical","D2",3,4,1,NA,NA,NA,NA,NA,NA,NA,NA
1684,0,0,"Iceland",64.42,-17.33,1725,"Caldera","Historical","D1",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1690,1,0,"Italy",40.821,14.426,1281,"Complex volcano","Historical","D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1690,0,0,"Indonesia",-7.13,107.83,2249,"Complex volcano","Historical","D3",3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1692,0,0,"Pacific Ocean",-6.3,130,641,"Stratovolcano","Historical","D2",4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
1693,0,1,"Italy",37.734,15.004,3350,"Stratovolcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1693,1,0,"Iceland",63.98,-19.7,1491,"Stratovolcano","Historical","D1",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1694,0,0,"Pacific Ocean",-4.525,129.871,640,"Caldera","Historical","D1",3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
1698,1,0,"Italy",40.821,14.426,1281,"Complex volcano","Historical","D2",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1698,0,0,"Ecuador",-0.677,-78.436,5911,"Stratovolcano","Historical","D2",3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
1698,0,0,"Indonesia",-6.892,108.4,3078,"Stratovolcano","Historical","D2",3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1706,1,0,"Spain",28.271,-16.641,3715,"Stratovolcano","Historical","D2",2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
1707,1,0,"Greece",36.404,25.396,329,"Shield volcano","Historical","D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1707,0,1,"Japan",35.35,138.73,3776,"Stratovolcano","Historical","D4",4,NA,1,NA,NA,NA,NA,NA,1,75,1
1711,0,0,"Indonesia",3.67,125.5,1320,"Stratovolcano","Historical","D1",3,3000,4,NA,NA,NA,NA,NA,NA,NA,NA
1712,0,0,"Iceland",64.63,-17.53,2000,"Stratovolcano","Historical","D2",2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1714,1,0,"Italy",40.821,14.426,1281,"Complex volcano","Historical","D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1716,0,0,"Indonesia",-7.93,112.308,1731,"Stratovolcano","Historical","D1",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1716,1,1,"Philippines",14.002,120.993,400,"Stratovolcano","Historical","D1",4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1716,0,0,"Iceland",64.63,-17.53,2000,"Stratovolcano","Historical","D2",2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1716,0,0,"Japan",31.93,130.87,1700,"Shield volcano","Historical","D1",3,1,1,NA,NA,31,1,NA,NA,NA,NA
1717,0,0,"Japan",31.93,130.87,1700,"Shield volcano","Historical","D1",3,1,1,NA,NA,30,1,NA,NA,NA,NA
1717,0,0,"Iceland",64.63,-17.53,2000,"Stratovolcano","Historical","D2",3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1717,0,0,"Guatemala",14.473,-90.88,3763,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1718,0,0,"Portugal",38.47,-28.4,2351,"Stratovolcano","Historical","D4",2,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1721,0,0,"Iceland",63.63,-19.05,1512,"Subglacial volcano","Historical","D2",5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1721,0,0,"Japan",36.4,138.53,2560,"Complex volcano","Historical","D1",1,15,1,NA,NA,NA,NA,NA,NA,NA,NA
1726,0,0,"Iceland",64.63,-17.53,2000,"Stratovolcano","Historical","D2",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1727,0,0,"Iceland",64,-16.65,2119,"Stratovolcano","Historical","D4",4,3,1,NA,NA,NA,NA,NA,NA,NA,NA
1729,0,0,"Iceland",64.63,-17.53,2000,"Stratovolcano","Historical","D2",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1729,0,0,"Iceland",65.73,-16.78,650,"Caldera","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1730,0,0,"Spain",29.03,-13.63,670,"Fissure vent","Historical","D3",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1730,0,0,"Indonesia",-8.125,114.042,3332,"Stratovolcano","Historical","D1",3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
1730,0,0,"Canada",55.12,-128.9,609,"Pyroclastic cone","Radiocarbon","D4",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
